,vid_name,labeled_SVO_ts,labeled_train_SVO_ts
0,s01e01_seg01_clip_00,"[('Leonard', 'put', 'A piece of paper .'), ('Leonard', 'hold', 'hand')]","[(0, 2, 2), (0, 41, 13)]"
1,s01e01_seg01_clip_01,"[('Sheldon', 'wear', 'a shoulder bag'), ('Leonard and Sheldon', 'hand', 'Clipboards and pens .'), ('Leonard', 'sit', 'waiting room')]","[(1, 9, 1), (0, 14, 0), (0, 14, 0)]"
2,s01e01_seg01_clip_02,"[('Sheldon', 'leave', 'donation office'), ('Sheldon', 'leave', 'sperm bank'), ('Leonard', 'hold', 'clip board'), ('Leonard', 'hold', 'brown bad'), ('Leonard', 'sit', 'waiting room'), ('Leonard', 'walk', 'door')]","[(1, 21, 0), (1, 21, 0), (0, 41, 0), (0, 41, 21), (0, 14, 0), (0, 42, 0)]"
3,s01e01_seg01_clip_03,"[('Leonard', 'walk', 'stair')]","[(0, 42, 0)]"
4,s01e01_seg01_clip_04,"[('Penny', 'hold', 'the door'), ('Leonard', 'invite', 'Penny'), ('Penny', 'closes', 'door'), ('Sheldon', 'enter', 'apartment'), ('Leonard', 'enter', 'apartment'), ('Penny', 'close', 'door'), ('Sheldon', 'take', 'keys')]","[(2, 41, 0), (0, 28, 5), (1, 17, 0), (0, 17, 0), (2, 33, 0), (1, 6, 1), (1, 14, 1)]"
5,s01e01_seg01_clip_05,"[('Sheldon', 'wear', 'Flash T shirt'), ('Leonard', 'knock', 'door'), ('Leonard', 'knock', 'apartment door'), ('Leonard', 'hold', 'paper bag'), ('Penny', 'leave', 'apartment'), ('Leonard', 'hold', 'bag')]","[(1, 9, 1), (0, 4, 0), (0, 4, 0), (0, 41, 1), (2, 21, 0), (0, 41, 1)]"
6,s01e01_seg02_clip_00,"[('Penny', 'notice', 'white board'), ('Sheldon', 'enter', 'apartment door')]","[(1, 17, 0), (0, 7, 1)]"
7,s01e01_seg02_clip_01,"[('Penny', 'ask', 'Leonard'), ('Sheldon', 'put', 'hand'), ('Leonard', 'sit', 'chair')]","[(2, 28, 5), (1, 2, 13), (0, 14, 0)]"
8,s01e01_seg02_clip_02,"[('Sheldon', 'sit', 'couch'), ('Sheldon', 'sit', 'living room'), ('Sheldon', 'sit', 'couch')]","[(1, 14, 0), (1, 14, 0), (1, 14, 0)]"
9,s01e01_seg02_clip_03,"[('Sheldon', 'sit', 'sofa'), ('Leonard', 'put', 'hand'), ('Leonard', 'sit', 'armchair'), ('Leonard', 'sit', 'armchair')]","[(1, 14, 0), (0, 2, 13), (0, 14, 0), (0, 14, 0)]"
10,s01e01_seg02_clip_04,"[('Sheldon', 'jump', 'seat'), ('Penny', 'speak', 'Leonard')]","[(1, 10, 0), (2, 2, 13)]"
11,s01e01_seg02_clip_05,"[('Sheldon', 'answer', 'Yes'), ('Leonard', 'say', 'No'), ('Sheldon', 'say', 'Yes')]","[(2, 21, 0), (1, 2, 12), (1, 2, 12)]"
12,s01e01_seg02_clip_06,"[('Sheldon', 'go', 'beer'), ('Sheldon', 'get', 'bottle'), ('Sheldon', 'grab', 'beers'), ('Sheldon', 'open', 'refrigerator')]","[(1, 17, 12), (1, 30, 8), (1, 41, 12), (1, 42, 0)]"
13,s01e01_seg02_clip_07,"[(' Leonard', 'put', 'a piece of paper'), ('Sheldon', 'ask', 'Luke Skywalker Shampoo'), ('Leonard', 'anticipate', 'Coitus'), ('Leonard', 'see', 'Raj and Howard'), ('Leonard', 'close', 'door')]","[(0, 2, 2), (1, 28, 7), (0, 19, 5), (0, 33, 0), (0, 30, 0)]"
14,s01e01_seg02_clip_08,"[('Penny', 'turn on', 'shower'), ('Penny', 'wear', 'bath towel'), ('Leonard', 'help', 'Penny')]","[(2, 9, 7), (2, 40, 0), (2, 9, 7)]"
15,s01e01_seg02_clip_09,[],[]
16,s01e01_seg02_clip_10,"[('Raj', 'sit', 'couch'), ('Raj', 'put', 'food')]","[(4, 14, 0), (4, 2, 12)]"
