,vid_name,labeled_SVO_ts,labeled_train_SVO_ts
0,s01e01_seg01_clip_00,"[('Leonard', 'put', 'A piece of paper .'), ('Leonard', 'hold', 'hand')]","[(0, 2, 1), (0, 41, 18)]"
1,s01e01_seg01_clip_01,"[('Sheldon', 'wear', 'a shoulder bag'), ('Leonard and Sheldon', 'hand', 'Clipboards and pens .'), ('Leonard', 'sit', 'waiting room')]","[(1, 9, 0), (0, 14, 0), (0, 14, 0)]"
2,s01e01_seg01_clip_02,"[('Sheldon', 'leave', 'donation office'), ('Sheldon', 'leave', 'sperm bank'), ('Leonard', 'hold', 'clip board'), ('Leonard', 'hold', 'brown bad'), ('Leonard', 'sit', 'waiting room'), ('Leonard', 'walk', 'door')]","[(1, 21, 1), (1, 21, 3), (0, 41, 0), (0, 41, 73), (0, 14, 0), (0, 42, 0)]"
3,s01e01_seg01_clip_03,"[('Leonard', 'walk', 'stair')]","[(0, 42, 0)]"
4,s01e01_seg01_clip_04,"[('Penny', 'hold', 'the door'), ('Leonard', 'invite', 'Penny'), ('Penny', 'closes', 'door'), ('Sheldon', 'enter', 'apartment'), ('Leonard', 'enter', 'apartment'), ('Penny', 'close', 'door'), ('Sheldon', 'take', 'keys')]","[(2, 41, 0), (0, 28, 7), (1, 17, 0), (0, 17, 0), (2, 33, 0), (1, 6, 1), (1, 14, 0)]"
5,s01e01_seg01_clip_05,"[('Sheldon', 'wear', 'Flash T shirt'), ('Leonard', 'knock', 'door'), ('Leonard', 'knock', 'apartment door'), ('Leonard', 'hold', 'paper bag'), ('Penny', 'leave', 'apartment'), ('Leonard', 'hold', 'bag')]","[(1, 9, 0), (0, 4, 0), (0, 4, 0), (0, 41, 0), (2, 21, 0), (0, 41, 0)]"
6,s01e01_seg02_clip_00,"[('Penny', 'notice', 'white board'), ('Sheldon', 'enter', 'apartment door')]","[(1, 17, 0), (0, 7, 0)]"
7,s01e01_seg02_clip_01,"[('Penny', 'ask', 'Leonard'), ('Sheldon', 'put', 'hand'), ('Leonard', 'sit', 'chair')]","[(2, 28, 7), (1, 2, 18), (0, 14, 0)]"
8,s01e01_seg02_clip_02,"[('Sheldon', 'sit', 'couch'), ('Sheldon', 'sit', 'living room'), ('Sheldon', 'sit', 'couch')]","[(1, 14, 0), (1, 14, 0), (1, 14, 0)]"
9,s01e01_seg02_clip_03,"[('Sheldon', 'sit', 'sofa'), ('Leonard', 'put', 'hand'), ('Leonard', 'sit', 'armchair'), ('Leonard', 'sit', 'armchair')]","[(1, 14, 0), (0, 2, 18), (0, 14, 0), (0, 14, 0)]"
